ID,jobb_etter_6mnd,utdanning,sykdom_siste_aar,arbsoker_siste_aar,forerkort,arbeid_siste_2mnd,alder,fylke,yrke,kjonn
15,Nei,Høyere utd 4 år+,Nei,Ja,Ja,Nei,35,Vestfold,Annet,Mann
32,Nei,Grunnskole,Nei,Nei,Nei,Nei,30,Vestfold,Annet,Mann
34,Nei,Grunnskole,Nei,Nei,Nei,Nei,29,Vestfold,Høgskoleyrker,Kvinne
35,Nei,VGS ikke fullf,Nei,Ja,Ja,Nei,36,Vestfold,Høgskoleyrker,Mann
40,Nei,Høyere utd u4 år,Ja,Nei,Ja,Nei,40,Vestfold,Maskin og transportarbeidere,Mann
53,Nei,Høyere utd u4 år,Nei,Nei,Ja,Nei,34,Vestfold,Akademiske yrker,Mann
70,Nei,,Ja,Ja,Nei,Nei,39,Vestfold,"Salg, service og omsorg",Mann
96,Ja,VGS fullf,Nei,Nei,Nei,Nei,29,Vestfold,Renholdere og hjelpepleiere,Mann
98,Ja,VGS fullf,Nei,Nei,Nei,Ja,30,Vestfold,Renholdere og hjelpepleiere,Mann
99,Nei,Grunnskole,Nei,Ja,Nei,Nei,30,Vestfold,"Bønder, fiskere, mv",Mann
114,Ja,VGS fullf,Nei,Ja,Ja,Nei,55,Vestfold,Renholdere og hjelpepleiere,Mann
129,Nei,VGS ikke fullf,Nei,Ja,Ja,Ja,55,Vestfold,Annet,Mann
148,Nei,VGS fullf,Ja,Ja,Nei,Nei,32,Vestfold,"Bønder, fiskere, mv",Mann
193,Nei,,Ja,Ja,Nei,Nei,48,Vestfold,Akademiske yrker,Kvinne
221,Nei,Høyere utd u4 år,Ja,Ja,Nei,Nei,30,Vestfold,Håndverkere,Kvinne
223,Nei,VGS ikke fullf,Ja,Ja,Ja,Nei,49,Vestfold,Kontoryrker,Kvinne
260,Nei,VGS ikke fullf,Ja,Ja,Ja,Ja,32,Vestfold,Renholdere og hjelpepleiere,Mann
276,Ja,VGS fullf,Nei,Nei,Ja,Ja,54,Vestfold,Ledere,Mann
282,Ja,VGS ikke fullf,Nei,Ja,Ja,Ja,18,Vestfold,Akademiske yrker,Kvinne
302,Ja,VGS fullf,Nei,Nei,Ja,Nei,51,Vestfold,Ledere,Kvinne
308,Ja,VGS fullf,Nei,Nei,Ja,Ja,57,Vestfold,Maskin og transportarbeidere,Mann
347,Nei,Grunnskole,Ja,Ja,Ja,Ja,37,Vestfold,"Salg, service og omsorg",Mann
348,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,39,Vestfold,Maskin og transportarbeidere,Mann
353,Nei,Grunnskole,Ja,Ja,Ja,Nei,55,Vestfold,Høgskoleyrker,Mann
388,Nei,Grunnskole,Nei,Ja,Nei,Nei,36,Vestfold,Høgskoleyrker,Mann
399,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,38,Vestfold,"Salg, service og omsorg",Kvinne
420,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,42,Vestfold,Høgskoleyrker,Kvinne
429,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,41,Vestfold,"Bønder, fiskere, mv",Kvinne
455,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,25,Vestfold,Håndverkere,Kvinne
471,Ja,VGS fullf,Nei,Nei,Ja,Ja,30,Vestfold,Renholdere og hjelpepleiere,M
487,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,26,Vestfold,Akademiske yrker,F
522,Ja,Høyere utd u4 år,Nei,Nei,Ja,Nei,26,Vestfold,Håndverkere,Mann
531,Nei,Grunnskole,Ja,Nei,Nei,Nei,42,Vestfold,Høgskoleyrker,Mann
568,Nei,,Ja,Ja,Nei,Nei,41,Vestfold,"Salg, service og omsorg",Mann
596,Nei,Høyere utd 4 år+,Nei,Ja,Ja,Nei,36,Vestfold,Maskin og transportarbeidere,Mann
603,Ja,VGS fullf,Nei,Nei,Ja,Ja,35,Vestfold,Håndverkere,Kvinne
606,Nei,VGS fullf,Ja,Nei,Nei,Ja,55,Vestfold,Håndverkere,Mann
636,Nei,VGS ikke fullf,Ja,Nei,Nei,Ja,47,Vestfold,Høgskoleyrker,Mann
706,Ja,Høyere utd u4 år,Nei,Nei,Ja,Nei,43,Vestfold,Høgskoleyrker,Kvinne
727,Nei,VGS ikke fullf,Ja,Nei,Ja,Ja,35,Vestfold,"Salg, service og omsorg",Kvinne
730,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Ja,32,Vestfold,"Salg, service og omsorg",Kvinne
733,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,40,Vestfold,Håndverkere,Mann
787,Nei,,Ja,Nei,Nei,Nei,42,Vestfold,Høgskoleyrker,Mann
833,Nei,,Nei,Ja,Ja,Nei,35,Vestfold,"Salg, service og omsorg",Kvinne
853,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,33,Vestfold,"Salg, service og omsorg",Kvinne
857,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,42,Vestfold,Renholdere og hjelpepleiere,Kvinne
864,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Ja,33,Vestfold,"Salg, service og omsorg",Mann
909,Nei,,Ja,Nei,Nei,Nei,37,Vestfold,Maskin og transportarbeidere,Mann
917,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,53,Vestfold,"Salg, service og omsorg",Mann
929,Nei,Grunnskole,Ja,Nei,Nei,Nei,37,Vestfold,Høgskoleyrker,Kvinne
930,Nei,Grunnskole,Ja,Nei,Nei,Nei,35,Vestfold,Håndverkere,Mann
934,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,33,Vestfold,Renholdere og hjelpepleiere,Kvinne
950,Ja,VGS fullf,Nei,Nei,Ja,Nei,51,Vestfold,Renholdere og hjelpepleiere,Mann
953,Nei,,Nei,Ja,Ja,Nei,28,Vestfold,Renholdere og hjelpepleiere,Mann
967,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,24,Vestfold,Håndverkere,Mann
1048,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,34,Vestfold,"Salg, service og omsorg",Mann
1061,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,28,Vestfold,Maskin og transportarbeidere,Kvinne
1078,Nei,VGS fullf,Ja,Nei,Nei,Nei,36,Vestfold,Håndverkere,Kvinne
1080,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,42,Vestfold,Håndverkere,Mann
1081,Nei,Grunnskole,Ja,Nei,Nei,Ja,28,Vestfold,"Bønder, fiskere, mv",Mann
1152,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,29,Vestfold,"Salg, service og omsorg",Mann
1184,Nei,Grunnskole,Ja,Nei,Nei,Ja,30,Vestfold,"Salg, service og omsorg",Mann
1210,Nei,VGS fullf,Ja,Nei,Nei,Nei,31,Vestfold,Håndverkere,Kvinne
1250,Ja,VGS fullf,Nei,Nei,Ja,Nei,44,Vestfold,Høgskoleyrker,Kvinne
1276,Ja,,Nei,Nei,Ja,Ja,20,Vestfold,Maskin og transportarbeidere,Mann
1281,Ja,,Ja,Nei,Ja,Ja,30,Vestfold,Maskin og transportarbeidere,Kvinne
1290,Nei,Høyere utd u4 år,Ja,Ja,Nei,Nei,28,Vestfold,Renholdere og hjelpepleiere,Mann
1304,Nei,VGS fullf,Nei,Ja,Ja,Nei,32,Vestfold,"Salg, service og omsorg",Mann
1326,Nei,VGS ikke fullf,Ja,Nei,Ja,Ja,34,Vestfold,Håndverkere,Mann
1337,Nei,Grunnskole,Nei,Ja,Ja,Ja,32,Vestfold,Håndverkere,Mann
1385,Nei,Høyere utd 4 år+,Nei,Ja,Nei,Ja,37,Vestfold,Akademiske yrker,Mann
1440,Ja,VGS fullf,Nei,Nei,Ja,Ja,20,Vestfold,Maskin og transportarbeidere,Mann
1444,Ja,,Nei,Nei,Ja,Nei,37,Vestfold,"Salg, service og omsorg",Kvinne
1445,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Ja,37,Vestfold,Akademiske yrker,Mann
1485,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,36,Vestfold,"Salg, service og omsorg",Kvinne
1524,Nei,VGS fullf,Ja,Nei,Nei,Nei,51,Vestfold,"Salg, service og omsorg",Mann
1541,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,48,Vestfold,Annet,Kvinne
1571,Nei,VGS fullf,Ja,Nei,Ja,Nei,29,Vestfold,"Salg, service og omsorg",Mann
1600,Nei,VGS fullf,Ja,Nei,Ja,Nei,36,Vestfold,Akademiske yrker,Mann
1605,Ja,VGS fullf,Nei,Nei,Ja,Nei,41,Vestfold,"Salg, service og omsorg",Kvinne
1662,Nei,VGS fullf,Ja,Nei,Nei,Nei,55,Vestfold,"Salg, service og omsorg",Mann
1683,Ja,VGS fullf,Nei,Nei,Ja,Ja,27,Vestfold,Renholdere og hjelpepleiere,Kvinne
1684,Nei,VGS fullf,Ja,Nei,Nei,Nei,52,Vestfold,Annet,Kvinne
1703,Ja,VGS fullf,Nei,Nei,Ja,Ja,35,Vestfold,Akademiske yrker,Mann
1725,Ja,VGS fullf,Nei,Nei,Ja,Ja,26,Vestfold,Håndverkere,Mann
1745,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Ja,32,Vestfold,Akademiske yrker,Kvinne
1770,Nei,VGS fullf,Ja,Nei,Nei,Nei,31,Vestfold,"Bønder, fiskere, mv",Kvinne
1771,Nei,Grunnskole,Ja,Nei,Nei,Nei,49,Vestfold,Annet,Mann
1792,Nei,Grunnskole,Ja,Nei,Nei,Ja,34,Vestfold,Renholdere og hjelpepleiere,Kvinne
1913,Ja,Grunnskole,Ja,Nei,Ja,Ja,45,Vestfold,Håndverkere,Mann
1971,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,54,Vestfold,Maskin og transportarbeidere,Mann
1988,Ja,VGS ikke fullf,Nei,Ja,Ja,Nei,21,Vestfold,"Salg, service og omsorg",Kvinne
2027,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,28,Vestfold,Høgskoleyrker,Mann
2039,Nei,,Nei,Nei,Ja,Nei,31,Vestfold,Annet,Mann
2049,Ja,VGS ikke fullf,Nei,Nei,Ja,Nei,27,Vestfold,Håndverkere,Kvinne
2089,Nei,Grunnskole,Nei,Nei,Nei,Nei,44,Vestfold,"Bønder, fiskere, mv",Mann
2121,Nei,VGS fullf,Nei,Ja,Nei,Nei,30,Vestfold,Kontoryrker,Mann
2125,Ja,Høyere utd u4 år,Nei,Nei,Ja,Nei,54,Vestfold,Maskin og transportarbeidere,Mann
2128,Nei,,Nei,Nei,Ja,Ja,36,Vestfold,Høgskoleyrker,Mann
2180,Ja,VGS fullf,Ja,Nei,Ja,Ja,42,Vestfold,Håndverkere,Mann
2181,Nei,VGS fullf,Nei,Nei,Nei,Ja,38,Vestfold,"Salg, service og omsorg",Mann
2216,Nei,VGS fullf,Nei,Nei,Nei,Ja,32,Vestfold,"Salg, service og omsorg",Kvinne
2218,Nei,VGS fullf,Nei,Ja,Nei,Ja,34,Vestfold,Kontoryrker,Mann
2244,Ja,VGS fullf,Nei,Nei,Nei,Ja,59,Vestfold,Ledere,Mann
2272,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,50,Vestfold,Håndverkere,Kvinne
2289,Ja,Grunnskole,Nei,Nei,Nei,Ja,18,Vestfold,Håndverkere,Mann
2294,Nei,VGS ikke fullf,Nei,Ja,Ja,Ja,53,Vestfold,Maskin og transportarbeidere,Kvinne
2312,Ja,VGS fullf,Ja,Nei,Ja,Ja,43,Vestfold,Håndverkere,Kvinne
2320,Ja,VGS fullf,Nei,Nei,Ja,Nei,50,Vestfold,Høgskoleyrker,Kvinne
2331,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,35,Vestfold,"Salg, service og omsorg",Kvinne
2357,Ja,VGS fullf,Nei,Nei,Ja,Ja,40,Vestfold,Høgskoleyrker,Kvinne
2360,Ja,VGS ikke fullf,Nei,Ja,Ja,Nei,22,Vestfold,Håndverkere,Mann
2369,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,38,Vestfold,Akademiske yrker,Kvinne
2434,Nei,,Nei,Nei,Ja,Nei,35,Vestfold,"Salg, service og omsorg",Kvinne
2479,Nei,VGS fullf,Nei,Nei,Nei,Ja,45,Vestfold,"Salg, service og omsorg",Mann
2480,Ja,VGS fullf,Nei,Nei,Ja,Ja,33,Vestfold,Akademiske yrker,Mann
2493,Ja,VGS ikke fullf,Nei,Ja,Nei,Ja,18,Vestfold,Høgskoleyrker,Mann
2507,Ja,VGS fullf,Nei,Ja,Nei,Nei,19,Vestfold,Akademiske yrker,Kvinne
2509,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,36,Vestfold,Høgskoleyrker,Mann
2567,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,32,Vestfold,Håndverkere,Mann
2570,Ja,VGS fullf,Nei,Nei,Nei,Ja,56,Vestfold,"Salg, service og omsorg",Mann
2578,Nei,VGS fullf,Ja,Nei,Nei,Nei,40,Vestfold,Håndverkere,Mann
2625,Nei,Grunnskole,Nei,Nei,Ja,Nei,53,Vestfold,Annet,Mann
2635,Ja,VGS fullf,Nei,Nei,Nei,Ja,55,Vestfold,"Salg, service og omsorg",Kvinne
2644,Ja,VGS fullf,Nei,Nei,Nei,Ja,47,Vestfold,Håndverkere,Kvinne
2665,Ja,Høyere utd u4 år,Ja,Nei,Ja,Ja,31,Vestfold,"Salg, service og omsorg",Mann
